section,completed
2.1.1,YES
2.1.2,YES
2.1.3,YES
2.2.1,YES
2.2.2,YES
2.2.3,YES
2.2.4,YES
2.2.5,YES
2.2.6,YES
2.2.7,YES
2.3.1,YES
2.3.2,YES
2.3.3,YES
2.3.4,YES
2.3.5,YES
2.3.5,PARTIAL (completed: when you click on a block once, each of the 4 corners should now have a small 5px x 5px solid box on it)
2.4.1,YES
2.4.2,YES
2.4.3,YES
2.4.4,YES
2.4.5,YES
2.4.6,PARTIAL (not completed: Users can click and drag a particular slide and drop it between another two slides to re-arrange it)
2.4.7,PARTIAL (not completed: the ability to restore the deck to a saved version)

FE_DEPLOYED_URL: https://z5417382-presto-be-deploy.vercel.app/
